stt,title,road,parking,square,price,dis_q,dis,date
7035,"Bán đất phân lô Khu Đô Thị Sài Đồng, Long Biên, 175m2, mặt tiền 8,5m.",10m,0,175.0,105 triệu / m2,Quận Long Biên,"Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội",05/05/2023
7036,"Bán đất KĐT Sài Đồng, Long Biên, diện tích 175m2, mặt tiền 8,5m. Hướng đông nam.",7m,0,175.0,100 triệu / m2,Quận Long Biên,"Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội",05/05/2023
7037,"Bán đất phân lô quân đội 918, Cạnh sân Golf Long Biên, 75m2. Mặt tiền 5m.",13m,0,80.0,10 tỷ,Quận Long Biên,"Đường Nguyễn Văn Linh, Phường Phúc Đồng, Quận Long Biên, Hà Nội",05/05/2023
7038,"Bán đất phân lô quân đội 918, Cạnh sân Golf Long Biên, 60m2. Mặt tiền 4,2m.",6m,0,60.0,106 triệu / m2,Quận Long Biên,"Đường Nguyễn Văn Linh, Phường Phúc Đồng, Quận Long Biên, Hà Nội",05/05/2023
7039,"Bán đất phân lô Việt Hưng. Cạnh hồ UBND quận Long Biên, cạnh vườn hoa, 75m2. Vỉa hè rộng.",13m,0,75.0,10 tỷ,Quận Long Biên,"Đường Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội",05/05/2023
7040,"Cần bán gấp đất Phố Sài Đồng, Long Biên, DT 71m2, mặt tiền 5m.",6m,1,71.0,5 tỷ,Quận Long Biên,"Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội",05/05/2023
7041,"Đất Thổ Cư Mặt Đường Võ Chí Công, DT 915m2, Mặt Tiền 25m, Giá Chỉ 320 Tỷ",24m,0,915.0,320 tỷ,Quận Cầu Giấy,"Đường Võ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",05/05/2023
7042,"Cần Bán Gấp Đất Mặt Phố Hàm Long-Hoàn Kiếm, DT 477m2, Mặt Tiền 11m, 324 Tỷ",12m,0,477.0,324 tỷ,Quận Hoàn Kiếm,"Phố Hàm Long, Phường Hàng Bài, Quận Hoàn Kiếm, Hà Nội",05/05/2023
7043,"Cần Nhượng Đất Dự Án Khách Sạn Mặt Phố Cổ Hàng Bồ-Hoàn Kiếm, DT 963m2, Chỉ 200 Tỷ",12m,0,963.0,200 tỷ,Quận Hoàn Kiếm,"Phố Hàng Bồ, Phường Hàng Bồ, Quận Hoàn Kiếm, Hà Nội",05/05/2023
7044,"Bán Lô Đất Biệt Thự Vườn Đào Tây Hồ, 2 Mặt Đường Lạc Long Quân, DT406m2, Mặt Tiền 13.5m",24m,0,406.0,190 tỷ,Quận Tây Hồ,"Đường Lạc Long Quân, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",05/05/2023
